uri	year	title	author	word_count	word_types	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC5550	1864	Moods	Alcott, Louisa May (1832-1888)	86676	8194	99.206239328072	0.1176796345009	0.54571046195025	0.13037057547649	96.412008786917	0.17085672443251	2.9167683670979	0.50036612155236
VAC5551	1864	On Picket Duty	Alcott, Louisa May (1832-1888)	32006	4887	97.756670624258	0.23745547709804	1.1997750421796	0.80609885646441	96.050746879476	0.24554941682014	2.8852056476366	0.81849805606712
VAC5570	1864	Washington's Vision	Bradshaw, Wesley (1837-1927)	6493	1758	99.430155552133	0.061604805174804	0.20021561681811	0.30802402587402	98.805460750853	0.17064846416382	0.68259385665529	0.34129692832765
VAC5580	1864	Victoire	Clemmer, Mary (1839-1884)	170815	11761	98.738986622955	0.32315663144337	0.69314755729883	0.24470918830313	96.071762605221	0.28058838534138	3.0184508120058	0.62919819743219
VAC5596	1864	Red-tape and Pigeon-hole Generals	Morford, Henry, (1823-1881)	89747	9122	98.736448014975	0.086910983096928	0.90253713216041	0.27410386976723	95.560184170138	0.33983775487832	3.409340057005	0.69063801797851
VAC5626	1864	Light on Shadowed Paths	Arthur, T. S. (1809-1885)	75559	6575	98.636826850541	0.61011924456385	0.52012334731799	0.23293055757752	96.51711026616	0.3041825095057	2.5095057034221	0.66920152091255
VAC5639	1864	Out in the World	Arthur, T. S. (1809-1885)	80083	6365	97.681155800857	1.4147821635054	0.67929523119763	0.22476680444039	96.496465043205	0.25137470542027	2.6708562450903	0.58130400628437
VAC5648	1864	Sunshine at Home, and Other Stories	Arthur, T. S. (1809-1885)	41549	5046	98.129918890948	0.81831091000987	0.8303448939806	0.22142530506149	96.591359492667	0.099088386841062	2.7744748315497	0.53507728894174
VAC5729	1864	War Letters of a Disbanded Volunteer	Barber, Joseph.	130247	16970	97.125461622916	1.2652882599983	1.0618286793554	0.54742143772985	93.370654095463	1.6263995285798	3.4413671184443	1.5615792575133
VAC5763	1864	The Winthrops	Beckwith, J. R., Mrs.	116188	11813	98.140083313251	0.22205391262437	1.321134712707	0.3167280614177	95.225598916448	0.47405400829595	3.6569880639973	0.64335901125878
VAC5773	1864	The Rebel Cousins, or, Life and Love in Secessia	Bell, Alfreda Eva.	17140	3496	99.416569428238	0.081680280046674	0.37339556592765	0.12835472578763	98.140732265446	0.25743707093822	1.1155606407323	0.4862700228833
VAC5845	1864	Round the Block	Bouton, John Bell, (1830-1902)	156806	12141	98.190758006709	0.66579084983993	0.88198155682818	0.26146958662296	94.670949674656	0.21415039947286	4.2912445432831	0.82365538258793
VAC5847	1864	Gerald Gray's Wife	Bowen, Sue Petigru, (1824-1875)	73853	8024	98.11788282128	0.75690899489526	0.97761770002573	0.1475904837989	96.261216350947	0.3988035892323	2.5049850448654	0.83499501495513
VAC5917	1864	Clotelle	Brown, William Wells, (1815-1884)	41969	5233	99.080273535228	0.41935714455908	0.38361647882961	0.11675284138293	97.534874832792	0.36308045098414	1.6434167781387	0.45862793808523
VAC5926	1864	Crusoe's Island	Browne, J. Ross (1821-1875)	121764	10224	99.041588646891	0.055845734371407	0.65208107486613	0.25048454387175	96.175665101721	0.23474178403756	3.0320813771518	0.5575117370892
VAC5937	1864	Honor, or, The Slave-dealer's Daughter	Bulfinch, S. G. (1809-1870)	55180	5730	98.686118158753	0.45487495469373	0.52555273649873	0.33345415005437	97.626527050611	0.15706806282723	1.6404886561955	0.57591623036649
VAC5951	1864	First Quarrels and First Discords in Married Life	Burk, James H.	86004	8417	99.050044183991	0.26045300218594	0.47555927631273	0.21394353750988	97.053582036355	0.26137578709754	2.1385291671617	0.54651300938577
VAC5988	1864	Historical Sketch of the Third Annual Conquest of Florida	Captain Le Diable.	3912	1312	97.80163599182	0.15337423312883	1.1503067484663	0.89468302658487	96.341463414634	0.22865853658537	2.4390243902439	0.99085365853659
VAC6179	1864	Emily Mayland, or, The Faithful Governess	Cox, M. H.	45064	5261	98.284661814309	0.90315995029292	0.519261494763	0.29291674063554	97.681049230184	0.32313248431857	1.4826078692264	0.51321041627067
VAC6194	1864	Duncan Adair, or, Captured in Escaping	Cross, Jane T. H.	12904	2587	99.085554866708	0.42622442653441	0.24798512089275	0.24023558586485	98.028604561268	0.54116737533823	0.88906068805566	0.54116737533823
VAC6202	1864	Haunted Hearts	Cummins, Maria S. (1827-1866)	138966	11593	98.427672955975	0.10722047119439	0.96642344170517	0.4986831311256	96.213232122833	0.31915811265419	2.8379194341413	0.62969033037178
VAC6211	1864	Jottings from Life, or, Passages from the Diary of an Itinerant's Wife	Cutler, Helen R.	46491	5928	99.02776881547	0.25811447376912	0.56570088834398	0.14841582241724	96.862348178138	0.20242914979757	2.4460188933873	0.48920377867746
VAC6257	1864	The Mill Agent	Denison, Mary A. (1826-1911)	59456	6881	98.381996770721	0.3077906350915	0.74004305705059	0.57016953713671	96.526667635518	0.71210579857579	1.9473913675338	0.81383519837233
VAC6261	1864	Out of Prison	Denison, Mary A. (1826-1911)	76560	7702	97.628004179728	0.43625914315569	1.3205329153605	0.61520376175549	96.494417034536	0.22072189041807	2.713580888081	0.57128018696442
VAC6294	1864	Dora, the Heroine of the Cumberland, or, The American Amazon	Anonymous	31791	4992	98.298260513982	0.062910886728948	1.0348840866912	0.60394451259791	96.654647435897	0.22035256410256	2.5240384615385	0.60096153846154
VAC6461	1864	Raids and Romance of Morgan and His Men	Ford, Sallie Rochester, (1828-1910)	160980	13247	98.69114175674	0.40377686669151	0.58702944465151	0.31805193191701	94.821469011852	1.2984071865328	2.4080923982789	1.4720314033366
VAC6472	1864	The Downe Reserve, or, The Mystery at Wishing Well	Blount, Margaret.	109718	11163	98.871652782588	0.36912812847482	0.48761370057784	0.27160538835925	94.553435456419	1.576637104721	2.1320433575204	1.7378840813401
VAC6495	1864	The Grahams	Fuller, Jane Gay.	18255	3234	98.69076965215	0.55875102711586	0.42180224596001	0.32867707477403	97.186147186147	0.86580086580087	1.3605442176871	0.58750773036487
VAC6506	1864	Extracts From the Diary of a Country Pastor	Gardner, H. C., Mrs.	39597	5304	98.626158547365	0.57327575321363	0.67429350708387	0.1262721923378	96.983408748115	0.26395173453997	2.3755656108597	0.37707390648567
VAC6524	1864	Legends of New England	Gill, Julia.	26529	4422	98.616608240039	0.42971842135022	0.57295789513363	0.38071544347695	96.74355495251	0.56535504296698	1.763907734057	0.92718227046585
VAC6527	1864	Down in Tennessee	Gilmore, James R. (1822-1903)	80982	8725	98.324318984466	0.36180879701662	0.85821540589267	0.45565681262503	96.080229226361	0.48137535816619	2.8080229226361	0.63037249283668
VAC6540	1864	Christmas at Under-Tor	Gordon, Clarence.	14441	3561	98.63582854373	0.30468804099439	0.71324700505505	0.3462364102209	96.686324066274	0.73013198539736	1.9095759618085	0.67396798652064
VAC6560	1864	Dreams Within Dreams	De Lazie, Ulric.	214981	17281	98.80408036059	0.28607179239096	0.65168549778818	0.25816234923086	95.098663271801	0.9142989410335	2.6734563971992	1.3135813899659
VAC6600	1864	The Life and Adventures, Songs, Services, and Speeches of Private Miles O'Reilly	Halpine, Charles G. (1829-1868)	46695	8298	97.695684762823	0.63390084591498	1.1907056430025	0.47970874825998	94.613159797542	0.79537237888648	3.4827669317908	1.1087008917812
VAC6658	1864	The Rivals	Haw, M. J.	34220	10152	97.013442431327	0.97311513734658	0.8562244301578	1.1572180011689	91.952324665091	2.3837667454689	2.4231678486998	3.2407407407407
VAC6712	1864	The Captain's Bride	Herrington, William D., (b. ca. 1841)	6496	2098	98.737684729064	0.44642857142857	0.35406403940887	0.46182266009852	96.234509056244	1.3822688274547	1.0009532888465	1.3822688274547
VAC6717	1864	The Test of Loyalty	Hiatt, James M.	48793	7055	97.561125571291	0.73986022585207	1.3014161867481	0.39759801610887	95.095676824947	0.92133238837704	2.9199149539334	1.0630758327427
VAC6735	1864	Our Boys	Hill, A. F. (1800-1871)	141626	10760	98.548289155946	0.11438577662294	0.86142374987644	0.47590131755469	94.981412639405	1.0408921933086	2.7509293680297	1.2267657992565
VAC6747	1864	MacPherson, the Great Confederate Philosopher and Southern Blower	Hills, Alfred C.	55908	8113	98.978679258782	0.18959719539243	0.60098733633827	0.23073620948701	95.722913841982	0.92444225317392	2.3049426845803	1.0477012202638
VAC6754	1864	Agnes Hilton, or, Practical Views of Catholicity	Hoffman, Mary J.	143776	10351	98.774482528377	0.58146004896506	0.43122635210327	0.2128310705542	95.807168389528	1.1593082793933	2.0770940005797	0.95642933049947
VAC6770	1864	Cousin Maud and Rosamond	Holmes, Mary Jane, (1825-1907)	105958	9202	98.44089167406	0.5266237565828	0.62477585458389	0.40770871477378	95.653118887198	0.92371223647033	2.1734405564008	1.2497283199304
VAC6771	1864	Darkness and Daylight	Holmes, Mary Jane, (1825-1907)	129370	9743	98.478781788668	0.34010976269614	0.74205766406431	0.43905078457138	95.340244277943	1.149543261829	2.3709329775223	1.1392794827055
VAC6791	1864	Home on a Furlough	Anonymous	2301	862	98.348544111256	0.4780530204259	0.39113428943937	0.78226857887875	97.099767981439	1.0440835266821	0.81206496519722	1.0440835266821
VAC6813	1864	The Morrisons	Hosmer, Margaret, (1830-1897)	134662	10277	97.443970830672	0.47006579435921	1.1688523859738	0.91711098899467	95.37802860757	0.77843728714605	2.6077649119393	1.2357691933444
VAC6820	1864	The Rival Volunteers; or, The Black Plume Rifles	Howe, Mary A.	120773	14735	98.454952679821	0.39081582804104	0.79819164879567	0.35603984334247	94.781133355955	0.90261282660333	3.0064472344757	1.3098065829657
VAC6887	1864	Woodburn	Jeffrey, Rosa Vertner, (1828-1894)	86560	8867	98.61252310536	0.56030499075786	0.5822550831793	0.2449168207024	96.582835231758	0.80072177737679	1.9284989286117	0.6879440622533
VAC6904	1864	Georgia Sketches	Johnston, Richard Malcolm, (1822-1898)	54029	7856	96.93868107868	1.2863462214737	1.1382775916637	0.63669510818264	93.228105906314	1.7693482688391	2.8767820773931	2.1257637474542
VAC6953	1864	Look Within for Fact and Fiction	Judd, H. O.	50369	10755	98.332307570132	0.51221981774504	0.59957513550001	0.55589747662253	93.96559739656	1.9246861924686	1.9618781961878	2.1478382147838
VAC7006	1864	Evan Dale ...	Keyes, F.	100020	8649	98.457308538292	0.74185162967407	0.55488902219556	0.24595080983803	96.519828881952	0.52029136316337	2.2892819979188	0.67059775696612
VAC7011	1864	Was He Successful	Kimball, Richard B. (1816-1892)	103361	10019	98.234343707975	0.82429543057826	0.73722196960169	0.20413889184509	95.298932029145	1.0080846391855	2.4653158997904	1.2276674318794
VAC7076	1864	Letters of Major Jack Downing of the Downingville Militia	Anonymous	60986	6632	96.325386154199	0.88052995769521	1.8036926507723	0.99039123733316	93.440892641737	1.7340168878166	3.2720144752714	1.5530759951749
VAC7106	1864	The Nasby Papers	Locke, David Ross, (1833-1888)	20920	5027	93.905353728489	0.91778202676864	3.7762906309751	1.4005736137667	91.16769444997	1.9295802665606	4.7145414760294	2.1881838074398
VAC7116	1864	Harry Todd, the Deserter, or, The Soldier's Wife	Long, R. H.	51993	6806	98.251687727194	0.69624757178851	0.73856096012925	0.3135037408882	95.371730825742	1.3811342932706	1.8219218336762	1.4252130473112
VAC7117	1864	Master William Mitten, or, A Youth of Brilliant Talents, Who Was Ruined By Bad Luck	Longstreet, Augustus Baldwin, (1790-1870)	105323	11747	97.656732147774	0.94186455000332	0.83647446426706	0.56492883795562	93.555801481229	1.7876904741636	2.6389716523368	2.0175363922704
VAC7178	1864	Sea Drifts	McLeod, Georgie A. Hulse, (1835-1890)	37413	5016	98.278673188464	0.42765883516425	0.80186031593296	0.49180766043888	96.77033492823	0.2591706539075	2.2328548644338	0.73763955342903
VAC7229	1864	Grace Morton, or, The Inheritance	M. L. M.	74565	8279	98.468450345336	0.53108026554013	0.67994367330517	0.32052571581841	96.992390385312	0.30196883681604	2.1983331320208	0.50730764585095
VAC7262	1864	Seven Stories, With Basement and Attic	Mitchell, Donald Grant, (1822-1908)	69804	8202	99.086012262908	0.074494298321013	0.63176895306859	0.20772448570283	96.342355523043	0.25603511338698	2.7920019507437	0.60960741282614
VAC7265	1864	The Modern Niobe, or, Leoni Loudon	Anonymous	16483	3078	99.654189164594	0.09706970818419	0.16987198932233	0.078869137899654	98.992852501624	0.19493177387914	0.58479532163743	0.227420402859
VAC7320	1864	Nepenthe	Anonymous	127124	12460	97.969698876687	0.61357414807589	0.95025329599446	0.46647367924231	94.719101123595	0.89887640449438	3.2825040128411	1.099518459069
VAC7345	1864	Notes of Hospital Life from November, 1861 to August, 1863	Anonymous	47429	5406	98.675915579076	0.082228172636994	0.74216196841595	0.49969427987096	96.799852016278	0.36995930447651	2.1272660007399	0.70292267850536
VAC7401	1864	The Poor White, or, The Rebel Conscript	Pearson, Emily Clemens.	53390	7278	97.299119685334	0.3596179059749	1.4103764749953	0.93088593369545	95.452047265732	0.79692223138225	2.5831272327563	1.1679032701292
VAC7433	1864	The Gypsies of the Danes' Dike	Searle, January, (1815-1889)	177889	14196	98.366397022863	0.19900050031199	0.91855033194857	0.51605214487686	94.80135249366	0.88757396449704	3.1346858269935	1.1763877148493
VAC7529	1864	Quest	Anonymous	74127	8898	98.758886775399	0.40875794245012	0.59222685391288	0.24012842823802	94.807821982468	1.2249943807597	2.5061811643066	1.4610024724657
VAC7569	1864	John Guilderstring's Sin	Richards, C. French.	57453	7495	98.908673176335	0.38466224566167	0.50998207230258	0.19668250570031	96.330887258172	0.77384923282188	2.0280186791194	0.86724482988659
VAC7571	1864	Elisiner, or, The mysteries of an old stone mansion	Richards, Elizabeth Barnes.	85659	10231	98.939982955673	0.43544753032373	0.41326655692922	0.21130295707398	95.797087283745	1.1826800899228	1.7495845958362	1.2706480304956
VAC7672	1864	Christus Judex	Roth, Edward, (1826-1911)	16490	3465	99.49666464524	0.11522134627047	0.32140691328078	0.066707095209218	98.008658008658	0.46176046176046	1.2409812409812	0.28860028860029
VAC7674	1864	Rubina ...	Anonymous	144710	15479	97.438324925714	0.25844793034345	1.5147536452215	0.78847349872158	94.657277601912	0.79462497577363	3.2689450222883	1.2791524000258
